path,track_name,text,time_signature,key_signature,set_tempo,clocks_per_click
by_myself_dmck.mid, _-_ name By Myself __ time 0 _-_ name By Myself __ time 0 _-_ name dougmck@pipeline.com.au __ time 0 _-_ name Acoustic Bass __ time 0 _-_ name Rhodes Piano      __ time 0,,4/4,F,165.0,24
new_york_state_of_mind_ii_ok.mid, _-_ name by OKIE DUKE  10 17 2015 __ time 0 _-_ name by OKIE DUKE  10 17 2015 __ time 0 _-_ name DUKE ALTO SAX __ time 0 _-_ name Tremolo Strings __ time 0 _-_ name Acoustic Grand Piano __ time 0 _-_ name Electric Bass (finger) __ time 0 _-_ name Acoustic Grand Piano __ time 0 _-_ name PIANO LEAD __ time 0 _-_ name HARMONICA BRIDGE __ time 0,,4/4,C,62.0,24
loverman-BHoliday_mw.mid," _-_ name         "" LOVER MAN "" __ time 0 _-_ name Orchestration & midi prep by __ time 0 _-_ name              MEL WEBB __ time 0 _-_ name Bass / Acoustic bass __ time 0 _-_ name Piano / Rhodes elect. __ time 0 _-_ name Melody / Jazz guitar __ time 0 _-_ name Solo / Mute trumpet __ time 0 _-_ name Strings / Slow strings __ time 0 _-_ name Guitar / Nylon string __ time 0 _-_ name Drums / Wire brush __ time 0 _-_ name All instr/Roland Sound Canvas __ time 0 _-_ name Freely distrib. / GMidi type 1 __ time 0 _-_ name DO NOT  attempt to sell this __ time 0 _-_ name copyright tune __ time 0 _-_ name Contact kmel@powernet.net __ time 0 _-_ name Run time 5:20  / Ez listening __ time 0 _-_ name APRIL 01 / 98 __ time 0",,4/4,,75.0,24
where_or_when_jh.mid, _-_ name Where or When __ time 0 _-_ name info@josefhuber.com __ time 0 _-_ name Josef Huber __ time 0 _-_ name Hoegsby __ time 0 _-_ name Sweden __ time 0 _-_ name info@josefhuber.com __ time 0 _-_ name Bass     __ time 0 _-_ name Piano    __ time 0 _-_ name Vibes __ time 0 _-_ name Piano __ time 0 _-_ name Pad2 __ time 0 _-_ name Drums  __ time 0,,4/4,G,145.0,24
after_youve_gone_dm.mid, _-_ name After You've Gone - in Eb __ time 0 _-_ name Track 2 __ time 0 _-_ name Track 3 __ time 0 _-_ name Track 4 __ time 0, _-_ text dougmck@tpg.com.au@ __ time 0,4/4,Eb,100.0,24
rio_samba_bw2.mid, _-_ name [Larry Carlton] Rio Samba __ time 0 _-_ name P1-Overdr __ time 0 _-_ name P2-DX Har __ time 0 _-_ name P3-Finger __ time 0 _-_ name P4-Rock O __ time 0 _-_ name P5-Big Le __ time 0 _-_ name P6-Overdr __ time 0 _-_ name P7-Clavi. __ time 0 _-_ name P8-Rock O __ time 0 _-_ name P10-ROOM  __ time 0 _-_ name System __ time 0 _-_ name Bill Welsh __ time 0 _-_ name 1997 __ time 0,,4/4,C,129.0,24
afro_blue-xgm-john-coltrane_jh.mid, _-_ name AfroBlue __ time 0 _-_ name info@josefhuber.com __ time 0 _-_ name Josef Huber __ time 0 _-_ name Högsby __ time 0 _-_ name Sweden __ time 0 _-_ name info@josefhuber.com __ time 0 _-_ name Bass __ time 0 _-_ name Bass __ time 0 _-_ name Guitar __ time 0 _-_ name Guitar __ time 0 _-_ name Piano __ time 0 _-_ name Strings __ time 0 _-_ name Piano __ time 0 _-_ name Pad2 __ time 0 _-_ name Open Hi Hat __ time 0 _-_ name Drums __ time 0 _-_ name Shaker __ time 0 _-_ name Tight Kick __ time 0 _-_ name Side Stick __ time 0 _-_ name Closed Hi Hat __ time 0,,3/4,Ab,167.0,24
comin_home-mel-torme_bb.mid, _-_ name Comin' Home (Mel Torme) (Jazz// EZ) __ time 0 _-_ name tk1 __ time 0 _-_ name tk2 __ time 0 _-_ name tk3 __ time 0 _-_ name tk4 __ time 0 _-_ name tk5 __ time 0 _-_ name tk6 __ time 0 _-_ name tk7 __ time 0 _-_ name tk8 __ time 0 _-_ name tk9 __ time 0 _-_ name tk10 __ time 0 _-_ name tk11 __ time 0 _-_ name tk12 __ time 0 _-_ name tk13 __ time 0 _-_ name tk14 __ time 0 _-_ name tk15 __ time 0 _-_ name tk16 __ time 0, _-_ text Sequenced By Bob Barnes// Smithfield// VA// USA __ time 0,4/4,C,120.0,24
misty_dc.mid, _-_ name untitled __ time 0 _-_ name PIANO MELODY __ time 0 _-_ name STRING MELODY __ time 0 _-_ name STRINGS __ time 0 _-_ name ACC.GUITAR __ time 0 _-_ name BASS __ time 0 _-_ name VIBES __ time 0 _-_ name DRUMS __ time 0 _-_ name sequenced by: __ time 0 _-_ name Don Carroll __ time 0 _-_ name Houston// Texas __ time 0 _-_ name donniec@ix.netcom.com __ time 0, _-_ text DON CARROLL@ __ time 0,4/4,Eb,75.0,24
honey_hush_bz2.mid, _-_ name Honey Hush __ time 0 _-_ name Arranged and Played by Barry Heard Bazza1Studios  (Fats Waller Style) __ time 0 _-_ name Arrangement  Copyrite@ Bazza1Studio@ North Adelaide __ time 0 _-_ name All Rights Reserved __ time 0 _-_ name  __ time 0 _-_ name  __ time 0,,,,104.0,
sammy_walked_in-Michel-Camilo-pt_dm.mid, _-_ name Sammy Walked In __ time 0 _-_ name Piano __ time 0 _-_ name Bass __ time 0 _-_ name Drums __ time 0 _-_ name Trilogy 1 Primary Out __ time 0 _-_ name Cakewalk TTS-1 1 Output 1 __ time 0 _-_ name Super Quartet  1 Output __ time 0 _-_ name Super Quartet  1 __ time 0 _-_ name Trilogy 1 Primary Out __ time 0 _-_ name Trilogy 1 __ time 0, _-_ text Michel Camilo __ time 0 _-_ text sequenced by dougmck@tpg.com.au@ __ time 0,4/4,C,130.0,24
adios_au_revoir_auf_wiedersehn-kar_rt.mid, _-_ name Adios// Au Revoir// Auf Wiedersehn __ time 0 _-_ name Soft karaoke __ time 0 _-_ name Words __ time 0 _-_ name Melody __ time 0 _-_ name Vocals __ time 0 _-_ name Harmony __ time 0 _-_ name Piano __ time 0 _-_ name Vibes __ time 0 _-_ name Vibes 2 __ time 0 _-_ name Guitar __ time 0 _-_ name Strings __ time 0 _-_ name Strings 2 __ time 0 _-_ name Bass __ time 0 _-_ name Drums __ time 0, _-_ text Adios// Au Revoir// Auf Wiedersehn@ __ time 0 _-_ text Words and Music by:  Jack Elliott and George Cates@ __ time 0 _-_ text Performed by:  Lawrence Welk and His Orchestra  (1969)@ __ time 0 _-_ text Sequenced by:  Ron Tilden@ __ time 0 _-_ text @KMIDI KARAOKE FILE __ time 0 _-_ text @LENGL __ time 0 _-_ text @TAdios// Au Revoir// Auf Wiedersehn.  Lawrence Welk. __ time 0 _-_ text @TSeq and Kar - Ron Tilden.  Oct 2008. __ time 0 _-_ text Good __ time 840 _-_ text  night// __ time 120 _-_ text  good __ time 360 _-_ text  night __ time 120 _-_ text /un __ time 300 _-_ text til __ time 60 _-_ text  we __ time 60 _-_ text  meet __ time 60 _-_ text  a __ time 360 _-_ text gain// __ time 120 _-_ text /A __ time 360 _-_ text di __ time 60 _-_ text os// __ time 60 _-_ text  au __ time 360 _-_ text  rev __ time 60 _-_ text oir// __ time 60 _-_ text /auf __ time 300 _-_ text  wied __ time 60 _-_ text er __ time 60 _-_ text sehn __ time 60 _-_ text  'til __ time 360 _-_ text  then. __ time 120 _-_ text /And __ time 360 _-_ text  'though __ time 120 _-_ text  it's __ time 360 _-_ text  al __ time 120 _-_ text ways __ time 240 _-_ text /sweet __ time 180 _-_ text  sor __ time 60 _-_ text row __ time 120 _-_ text  to __ time 240 _-_ text  part// __ time 120 _-_ text /You __ time 360 _-_ text  know __ time 120 _-_ text  you'll __ time 360 _-_ text  al __ time 120 _-_ text ways __ time 240 _-_ text /re __ time 180 _-_ text main __ time 60 _-_ text  in __ time 120 _-_ text  my __ time 240 _-_ text  heart. __ time 120 _-_ text Good __ time 360 _-_ text  night// __ time 120 _-_ text  sleep __ time 360 _-_ text  tight// __ time 120 _-_ text /and __ time 300 _-_ text  pleas __ time 60 _-_ text ant __ time 60 _-_ text  dreams __ time 60 _-_ text  to __ time 360 _-_ text  you// __ time 120 _-_ text /Here's __ time 360 _-_ text  a __ time 60 _-_ text  wish __ time 60 _-_ text  and __ time 360 _-_ text  a __ time 60 _-_ text  prayer __ time 60 _-_ text /that __ time 300 _-_ text  ev __ time 60 _-_ text 'ry __ time 60 _-_ text  dream __ time 60 _-_ text  comes __ time 360 _-_ text  true// __ time 120 _-_ text /And __ time 360 _-_ text  now __ time 120 _-_ text  'til __ time 360 _-_ text  we __ time 120 _-_ text  meet __ time 240 _-_ text  a __ time 120 _-_ text gain// __ time 120 _-_ text /A __ time 840 _-_ text di __ time 60 _-_ text os// __ time 60 _-_ text  au __ time 360 _-_ text  rev __ time 60 _-_ text oir// __ time 60 _-_ text  auf __ time 240 _-_ text  wied __ time 80 _-_ text er __ time 80 _-_ text sehn. __ time 80 _-_ text /Good __ time 600 _-_ text night!!! __ time 75 _-_ text Good __ time 15525 _-_ text  night// __ time 120 _-_ text  sleep __ time 360 _-_ text  tight// __ time 120 _-_ text /and __ time 300 _-_ text  pleas __ time 60 _-_ text ant __ time 60 _-_ text  dreams __ time 60 _-_ text  to __ time 360 _-_ text  you// __ time 120 _-_ text /Here's __ time 360 _-_ text  a __ time 60 _-_ text  wish __ time 60 _-_ text  and __ time 360 _-_ text  a __ time 60 _-_ text  prayer __ time 60 _-_ text /that __ time 300 _-_ text  ev __ time 60 _-_ text 'ry __ time 60 _-_ text  dream __ time 60 _-_ text  comes __ time 360 _-_ text  true// __ time 120 _-_ text /And __ time 360 _-_ text  now __ time 120 _-_ text  'til __ time 360 _-_ text  we __ time 120 _-_ text  meet __ time 240 _-_ text  a __ time 120 _-_ text gain// __ time 120 _-_ text /A __ time 840 _-_ text di __ time 60 _-_ text os// __ time 60 _-_ text  au __ time 360 _-_ text  rev __ time 60 _-_ text oir// __ time 60 _-_ text  auf __ time 240 _-_ text  wied __ time 80 _-_ text er __ time 80 _-_ text sehn. __ time 80 _-_ text /Good __ time 600 _-_ text night!!! __ time 75,4/4,G,160.0,24
bei_mir_bist_du_schoen_dwb.mid, _-_ name Bei Mir Bist Du Schoen __ time 0 _-_ name Std Drums __ time 0 _-_ name Fretless E.Bass __ time 0 _-_ name Brass 1 __ time 0 _-_ name Lead Alto Sax __ time 0 _-_ name Harmony 1 Alto Sax __ time 0 _-_ name Harmony 2 Tenor Sax __ time 0 _-_ name Harmony 3 Tenor Sax __ time 0 _-_ name Harmony 4 Bari Sax __ time 0 _-_ name Piano 1 __ time 0 _-_ name Nylon Gtr 2 __ time 0 _-_ name GS Reset SYX DWB __ time 0 _-_ name ================= __ time 0 _-_ name MUSIC & WORDS by: __ time 0 _-_ name Sholom Secunda __ time 0 _-_ name Jacob Jacobs __ time 0 _-_ name SEQUENCED by: __ time 0 _-_ name DWBarnes 04/20/99 __ time 0 _-_ name DavidB7170@usa.net __ time 0 _-_ name ================= __ time 0 _-_ name Bei Mir Bist Du Schoen __ time 0, _-_ text For Personal Use Only __ time 1 _-_ text Modification without MIDI File __ time 1 _-_ text author's permission is prohibited. __ time 1 _-_ text Comments? __ time 1 _-_ text Email: DavidB7170@usa.net __ time 1 _-_ text Web Site on the Internet at: __ time 1 _-_ text http://members.xoom.com/DavidBarnes/ __ time 1,4/4,Am,159.0,24
youve_changed_mw.mid," _-_ name      "" YOU'VE CHANGED "" __ time 0 _-_ name Orchestration & midi prep by __ time 0 _-_ name               MEL WEBB __ time 0 _-_ name Bass / Acoustic bass __ time 0 _-_ name Piano / Rhodes piano __ time 0 _-_ name 1st Melody / Rhodes piano __ time 0 _-_ name 2nd Melody / Muted trumpet  __ time 0 _-_ name 3rd Melody / Trombone   __ time 0 _-_ name Guitar / Nylon string __ time 0 _-_ name Solo / Tenor sax __ time 0 _-_ name Strings / Slow strings __ time 0 _-_ name Drums / Wire brush __ time 0 _-_ name All instr./Roland Sound Canvas __ time 0 _-_ name Freely distrib. / GMidi type 1 __ time 0 _-_ name DO NOT attempt to sell this __ time 0 _-_ name          copyright tune __ time 0 _-_ name Contact MEL68@AOL.COM __ time 0 _-_ name Run time 4:48 / Ez listening __ time 0 _-_ name          MAY / 14 / 97 __ time 0",,4/4,,83.0,24
back_to_the_wall_bd.mid, _-_ name Back To The Wall __ time 0 _-_ name  Slap Bass 1 __ time 0 _-_ name  Honky-Tonk Piano __ time 0 _-_ name  Steel-str Guitar __ time 0 _-_ name  Overdrive Guitar __ time 0 _-_ name  Alto Sax Melody __ time 0 _-_ name  Alto Sax Harm. __ time 0 _-_ name  Low Agogo __ time 0 _-_ name  Closed Hi Hat __ time 0 _-_ name  Loose Kick __ time 0 _-_ name  Tight Snare __ time 0 _-_ name  Hi Crash Cymbal __ time 0 _-_ name  Hi Tom __ time 0 _-_ name  Hi Mid Tom __ time 0 _-_ name  Lo Mid Tom __ time 0 _-_ name  Lo Ride Cymbal __ time 0 _-_ name  Hi Floor Tom __ time 0 _-_ name Back To The Wall __ time 0 _-_ name Copyright 1998 __ time 0 _-_ name Bill Dickson __ time 0 _-_ name billyd@early.com __ time 0 _-_ name Roland GS/GM __ time 0,,4/4,C,150.0,24
chatanooga_choo_choo_mw.mid," _-_ name CHATTENOOGA CHOO CHOO __ time 0 _-_ name   __ time 0 _-_ name Orchestration & midi prep by __ time 0 _-_ name              MEL WEBB __ time 0 _-_ name Bass / Acoustic bass __ time 0 _-_ name Piano / Acoustic piano __ time 0 _-_ name Brass / Brass sect. 1 __ time 0 _-_ name Guitar / Nylon string __ time 0 _-_ name Drums / #1 Standard __ time 0 _-_ name Melody Harmony (below) __ time 0 _-_ name Voice 1 (Melody) Clarinet __ time 0 _-_ name Voice 2 (Harmony) Tenor Sax __ time 0 _-_ name Voice 3 (Harmony)     ""     "" __ time 0 _-_ name Voice 4 (Harmony)     ""     "" __ time 0 _-_ name Melody Doubled #1   ""     "" __ time 0 _-_ name Solo Harmony (below) __ time 0 _-_ name Voice 1 (Solo)        Alto sax __ time 0 _-_ name Voice 2 (Harmony) Tenor sax __ time 0 _-_ name Voice 3 (Harmony)    Alto   "" __ time 0 _-_ name Voice 4 (Harmony)     ""     "" __ time 0 _-_ name Voice 5 (Harmony)     ""     "" __ time 0 _-_ name Solo    Doubled    Tenor   "" __ time 0 _-_ name All instr/Roland Sound Canvas __ time 0 _-_ name Freely distrib/GS/GMidi type 1 __ time 0 _-_ name DO NOT attempt to sell this __ time 0 _-_ name copyright tune __ time 0 _-_ name Contact kmel@powernet .net __ time 0 _-_ name Run time 4:30  / BIG BAND __ time 0 _-_ name SEPT O6 / 98 __ time 0",,4/4,,135.0,24
beat_street_nwcj.mid," _-_ name Bass __ time 0 _-_ name Drums __ time 0 _-_ name Echoes __ time 0 _-_ name Guitar __ time 0 _-_ name Crystal __ time 0 _-_ name ""Beat Street"" __ time 0 _-_ name Norvel W. Curtis Jr. __ time 0 _-_ name Copyright October 1997 __ time 0 _-_ name ALL RIGHTS RESERVED __ time 0",,4/4,C,112.0,24
sing_sing_sing_prima_3x-gw.mid," _-_ name Sing// Sing// Sing __ time 0 _-_ name Jazz Kit __ time 0 _-_ name Jazz Bass __ time 0 _-_ name Piano __ time 0 _-_ name Alto Sax __ time 0 _-_ name Alto Sax __ time 0 _-_ name Tenor Sax __ time 0 _-_ name Tenor Sax __ time 0 _-_ name Bari Sax __ time 0 _-_ name Trumpet __ time 0 _-_ name Trumpet __ time 0 _-_ name Trumpet __ time 0 _-_ name Trumpet __ time 0 _-_ name Trombone __ time 0 _-_ name Trombone __ time 0 _-_ name Trombone __ time 0 _-_ name Trombone __ time 0 _-_ name <>-<>-<>-<>-<>-<>-<>-<>-<>-<>-<>-<>-<>-<> __ time 0 _-_ name ""Sing// Sing// Sing"" __ time 0 _-_ name Sequenced for General MIDI  __ time 0 _-_ name by GaryW0001@AOL.com __ time 0 _-_ name Music by Louis Prima __ time 0 _-_ name Arranged by Ry Phillippe __ time 0 _-_ name Sequence Copyright @1998 __ time 0 _-_ name by Blue Max Distribution __ time 0 _-_ name All Rights Reserved __ time 0 _-_ name Make NO Alterations! __ time 0 _-_ name E-Mail: GaryW0001@AOL.com __ time 0 _-_ name For a COMPLETE Archive of my files// __ time 0 _-_ name visit my Official MIDI Homepage @ __ time 0 _-_ name http://www.garyw0001.com/index.html __ time 0", _-_ text Sing// Sing// Sing __ time 0,4/4,,192.0,24
atlanta_ga-Woody-Herman-kar_r2_rt.mid, _-_ name Atlanta G.A. __ time 0 _-_ name Soft karaoke __ time 0 _-_ name Words __ time 0 _-_ name Melody __ time 0 _-_ name Harmony __ time 0 _-_ name Guitar __ time 0 _-_ name Saxaphone __ time 0 _-_ name Trombone __ time 0 _-_ name Trombone __ time 0 _-_ name Trombone __ time 0 _-_ name Trumpet __ time 0 _-_ name Trumpet __ time 0 _-_ name Bass __ time 0 _-_ name Drums __ time 0, _-_ text Atlanta// G.A.@ __ time 0 _-_ text Words and Music by:  Sunny Skylar and Artie Shaftel@ __ time 0 _-_ text Performed by:  Woody Herman  (1945)@ __ time 0 _-_ text Sequenced by:  Ron Tilden@ __ time 0 _-_ text @KMIDI KARAOKE FILE __ time 0 _-_ text @LENGL __ time 0 _-_ text @TAtlanta// G.A.  Woody Herman. __ time 0 _-_ text @TSeq and Kar - Ron Tilden.  July 2009. __ time 0 _-_ text My __ time 2340 _-_ text  mem __ time 60 _-_ text o __ time 60 _-_ text ry __ time 60 _-_ text  takes __ time 120 _-_ text  me __ time 120 _-_ text  back __ time 60 _-_ text /To __ time 420 _-_ text  a __ time 60 _-_ text  place __ time 60 _-_ text  where __ time 120 _-_ text  I __ time 60 _-_ text  long __ time 60 _-_ text  to __ time 120 _-_ text  be// __ time 60 _-_ text /Back __ time 600 _-_ text  to __ time 120 _-_ text  all __ time 60 _-_ text  the __ time 120 _-_ text  friend __ time 120 _-_ text ly __ time 120 _-_ text  fa __ time 120 _-_ text ces __ time 60 _-_ text /I __ time 300 _-_ text  long __ time 120 _-_ text  to __ time 120 _-_ text  see. __ time 60 _-_ text I __ time 390 _-_ text  love __ time 30 _-_ text  the __ time 90 _-_ text  morn __ time 30 _-_ text in' __ time 90 _-_ text  glo __ time 30 _-_ text ries __ time 90 _-_ text  grow __ time 30 _-_ text in' __ time 90 _-_ text /And __ time 30 _-_ text  the __ time 90 _-_ text  breez __ time 30 _-_ text es __ time 90 _-_ text  soft __ time 30 _-_ text ly __ time 90 _-_ text  blow __ time 30 _-_ text in' __ time 90 _-_ text /In __ time 30 _-_ text  At __ time 90 _-_ text lan __ time 30 _-_ text ta// __ time 60 _-_ text  G. __ time 300 _-_ text A. __ time 60 _-_ text /I __ time 390 _-_ text  love __ time 30 _-_ text  to __ time 90 _-_ text  wake __ time 30 _-_ text  up __ time 90 _-_ text  in __ time 30 _-_ text  the __ time 90 _-_ text  morn __ time 30 _-_ text in'// __ time 90 _-_ text /See __ time 30 _-_ text  the __ time 90 _-_ text  sun __ time 30 _-_ text  come __ time 90 _-_ text  up __ time 30 _-_ text  a __ time 90 _-_ text  dawn __ time 30 _-_ text in' __ time 90 _-_ text /In __ time 30 _-_ text  At __ time 90 _-_ text lan __ time 30 _-_ text ta// __ time 60 _-_ text  G. __ time 300 _-_ text A. __ time 60 _-_ text I __ time 390 _-_ text  love __ time 30 _-_ text  to __ time 90 _-_ text  walk __ time 30 _-_ text  a __ time 120 _-_ text mong __ time 120 _-_ text  the __ time 120 _-_ text  flow __ time 120 _-_ text ers __ time 60 _-_ text /And __ time 270 _-_ text  taste __ time 30 _-_ text  the __ time 90 _-_ text  hon __ time 30 _-_ text ey __ time 120 _-_ text  from __ time 120 _-_ text  the __ time 120 _-_ text  bees; __ time 60 _-_ text /I __ time 390 _-_ text  wan __ time 30 _-_ text na __ time 90 _-_ text  while __ time 30 _-_ text  a __ time 120 _-_ text way __ time 120 _-_ text  my __ time 120 _-_ text  ho __ time 120 _-_ text urs __ time 60 _-_ text /Read __ time 300 _-_ text in' __ time 90 _-_ text  books __ time 30 _-_ text  and __ time 90 _-_ text  dream __ time 30 _-_ text in' __ time 90 _-_ text  dreams __ time 30 _-_ text  be __ time 90 _-_ text neath __ time 30 _-_ text  the __ time 90 _-_ text  trees. __ time 30 _-_ text I __ time 330 _-_ text  wan __ time 30 _-_ text na __ time 90 _-_ text  see __ time 30 _-_ text  the __ time 90 _-_ text  i __ time 30 _-_ text vy __ time 90 _-_ text  clin __ time 30 _-_ text gin'// __ time 90 _-_ text /Wan __ time 30 _-_ text na __ time 90 _-_ text  hear __ time 30 _-_ text  the __ time 90 _-_ text  rob __ time 30 _-_ text ins __ time 90 _-_ text  sin __ time 30 _-_ text gin' __ time 90 _-_ text /Lit __ time 30 _-_ text tle __ time 90 _-_ text  songs __ time 30 _-_ text  I __ time 60 _-_ text  a __ time 300 _-_ text dore; __ time 60 _-_ text /I __ time 390 _-_ text  wan __ time 30 _-_ text na __ time 90 _-_ text  'tend __ time 30 _-_ text  the __ time 90 _-_ text  Sun __ time 30 _-_ text day __ time 90 _-_ text  meet __ time 30 _-_ text in' __ time 90 _-_ text /Wan __ time 30 _-_ text na __ time 90 _-_ text  hear __ time 30 _-_ text  the __ time 90 _-_ text  friend __ time 30 _-_ text ly __ time 90 _-_ text  greet __ time 30 _-_ text in' __ time 90 _-_ text /When __ time 30 _-_ text  I __ time 90 _-_ text  get __ time 30 _-_ text  home __ time 60 _-_ text  once __ time 300 _-_ text  more. __ time 60 _-_ text I __ time 390 _-_ text  long __ time 30 _-_ text  to __ time 90 _-_ text  hold __ time 30 _-_ text  that __ time 120 _-_ text  cer __ time 120 _-_ text tain __ time 120 _-_ text  some __ time 120 _-_ text one; __ time 60 _-_ text /I __ time 270 _-_ text  miss __ time 30 _-_ text  her __ time 90 _-_ text  more __ time 30 _-_ text  and __ time 120 _-_ text  more __ time 120 _-_ text  each __ time 120 _-_ text  day. __ time 60 _-_ text /I'm __ time 390 _-_ text  get __ time 30 _-_ text tin' __ time 90 _-_ text  read __ time 30 _-_ text y __ time 90 _-_ text  for __ time 30 _-_ text  a __ time 90 _-_ text  wed __ time 30 _-_ text din'// __ time 90 _-_ text /Gon __ time 30 _-_ text na __ time 90 _-_ text  get __ time 30 _-_ text  the __ time 90 _-_ text  train __ time 30 _-_ text  that's __ time 90 _-_ text  head __ time 30 _-_ text in' __ time 90 _-_ text /For __ time 30 _-_ text  At __ time 90 _-_ text lan __ time 30 _-_ text ta// __ time 60 _-_ text  G. __ time 300 _-_ text A. __ time 60 _-_ text I __ time 8070 _-_ text  wan __ time 30 _-_ text na __ time 90 _-_ text  see __ time 30 _-_ text  the __ time 90 _-_ text  i __ time 30 _-_ text vy __ time 90 _-_ text  clin __ time 30 _-_ text gin'// __ time 90 _-_ text /Wan __ time 30 _-_ text na __ time 90 _-_ text  hear __ time 30 _-_ text  the __ time 90 _-_ text  rob __ time 30 _-_ text ins __ time 90 _-_ text  sin __ time 30 _-_ text gin' __ time 90 _-_ text /Lit __ time 30 _-_ text tle __ time 90 _-_ text  songs __ time 30 _-_ text  I __ time 60 _-_ text  a __ time 300 _-_ text dore; __ time 60 _-_ text /I __ time 390 _-_ text  wan __ time 30 _-_ text na __ time 90 _-_ text  'tend __ time 30 _-_ text  the __ time 90 _-_ text  Sun __ time 30 _-_ text day __ time 90 _-_ text  meet __ time 30 _-_ text in' __ time 90 _-_ text /Wan __ time 30 _-_ text na __ time 90 _-_ text  hear __ time 30 _-_ text  the __ time 90 _-_ text  friend __ time 30 _-_ text ly __ time 90 _-_ text  greet __ time 30 _-_ text in' __ time 90 _-_ text /When __ time 30 _-_ text  I __ time 90 _-_ text  get __ time 30 _-_ text  home __ time 60 _-_ text  once __ time 300 _-_ text  more. __ time 60 _-_ text I __ time 390 _-_ text  long __ time 30 _-_ text  to __ time 90 _-_ text  hold __ time 30 _-_ text  that __ time 120 _-_ text  cer __ time 120 _-_ text tain __ time 120 _-_ text  some __ time 120 _-_ text one; __ time 60 _-_ text /I __ time 270 _-_ text  miss __ time 30 _-_ text  her __ time 90 _-_ text  more __ time 30 _-_ text  and __ time 120 _-_ text  more __ time 120 _-_ text  each __ time 120 _-_ text  day. __ time 60 _-_ text /I'm __ time 390 _-_ text  get __ time 30 _-_ text tin' __ time 90 _-_ text  read __ time 30 _-_ text y __ time 90 _-_ text  for __ time 30 _-_ text  a __ time 90 _-_ text  wed __ time 30 _-_ text din'// __ time 90 _-_ text /Gon __ time 30 _-_ text na __ time 90 _-_ text  get __ time 30 _-_ text  the __ time 90 _-_ text  train __ time 30 _-_ text  that's __ time 90 _-_ text  head __ time 30 _-_ text in' __ time 90 _-_ text /For __ time 30 _-_ text  At __ time 90 _-_ text lan __ time 30 _-_ text ta// __ time 60 _-_ text  G. __ time 300 _-_ text A. __ time 60,4/4,Bb,109.0,24
whispering_jazz_standard_rw.mid, _-_ name Whispering-Tpt. __ time 0 _-_ name Clarinet __ time 0 _-_ name Trombone __ time 0 _-_ name Voices 1 __ time 0 _-_ name Vibes __ time 0 _-_ name Strings __ time 0 _-_ name Piano __ time 0 _-_ name Sequenced by Roly Wright __ time 0 _-_ name copyright (c) 1999.All wrights __ time 0 _-_ name reserved.wrighton@ihug.co.nz __ time 0 _-_ name Elec Jazz Guitar __ time 0 _-_ name Guitar __ time 0 _-_ name Bass __ time 0 _-_ name FX __ time 0 _-_ name Drums __ time 0,,4/4,,176.0,24
over_the_rainbow_bd.mid, _-_ name setup __ time 0 _-_ name dig elec pno __ time 0 _-_ name bass                 __ time 0 _-_ name jazz guit __ time 0 _-_ name alto sax             __ time 0 _-_ name brass                __ time 0 _-_ name str __ time 0 _-_ name drums __ time 0 _-_ name Over the Rainbow __ time 0 _-_ name arr./seq. Bob Dietch __ time 0,,12/8,C,89.0,12
bach_variations_sn.mid, _-_ name Serban Nichifor: Bach Variations __ time 0 _-_ name Bass    (BB)@ __ time 0 _-_ name Drums   (BB)@ __ time 0 _-_ name Piano   (BB)@ __ time 0 _-_ name Guitar  (BB)@ __ time 0 _-_ name Strings (BB)@ __ time 0 _-_ name Melody  (BB)@ __ time 0 _-_ name Soloist (BB) (none)@ __ time 0,,4/4,C,200.0,24
i_can_dream_cant_i-03b_rs.mid, _-_ name *********************************** __ time 0 _-_ name             I Can Dream Can't I __ time 0 _-_ name                Sammy Fain __ time 0 _-_ name    Sequenced By Redsal __ time 0 _-_ name        Redsal's Midis __ time 0 _-_ name       www.redsal.com __ time 0 _-_ name ********************************* __ time 0 _-_ name     Sequence (C) 2003b __ time 0,,4/4,Eb,100.0,24
i_say_a_little_prayer_da.mid, _-_ name I Say A Little Prayer// Words by Hal David// Music by Burt Bacharach __ time 0 _-_ name Recorded by Dionne Warwick// Diane King __ time 0 _-_ name Bass __ time 0 _-_ name Piano __ time 0 _-_ name Guitar __ time 0 _-_ name Melody 1 __ time 0 _-_ name Melody 2 __ time 0 _-_ name Melody 3 __ time 0 _-_ name Strings __ time 0 _-_ name Bass __ time 0 _-_ name Drums __ time 0 _-_ name Bass __ time 0, _-_ text Sequenced by Deb Ackley// 01/24/99@ __ time 0 _-_ text deback@acd.net@ __ time 0 _-_ text MIDI Haven// http://midihaven.com/midi.html @ __ time 0,4/4,Bb,105.0,24
midnight_and_trish_jhall.mid, _-_ name Midnight And Trish __ time 0 _-_ name Original Sequence by JLHall __ time 0 _-_ name Bass     __ time 0 _-_ name Drums    __ time 0 _-_ name Piano    __ time 0 _-_ name Melody   __ time 0, _-_ text kcaj22@mail.icomnet.com __ time 0 _-_ text GM __ time 0,4/4,G,154.0,24
that_sunday_that_summer-kar_db.mid, _-_ name JESSE D'BASSMAN __ time 0, _-_ text http://members.aol.com/trish4vic/romeojul.html@ __ time 0 _-_ text webmistris@aol.com  and  dbassman_hotmail.com@ __ time 0,4/4,C,75.0,24
